Region	Sex	Age	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0 The whole country	Males	99	52	65	38	52	31	52	58	63	63	66	61	64	63	47	48	73	49	58	60	69	76	75	73	69	86	81	91	100	109	101	104	127	130	131	161
0 The whole country	Males	100	25	29	35	30	35	20	29	36	39	36	45	39	33	36	26	33	45	35	36	38	44	50	45	45	43	51	58	67	61	71	58	63	73	75	87
0 The whole country	Males	101	20	18	19	22	17	22	13	13	22	27	17	29	19	20	20	18	26	27	18	21	24	25	26	21	29	24	30	42	38	39	43	35	38	38	43
0 The whole country	Males	102	2	12	9	14	11	14	11	7	6	12	19	10	16	8	15	11	8	15	16	9	12	16	12	12	12	12	15	18	22	23	20	24	24	20	17
0 The whole country	Males	103	6	1	6	3	7	5	9	11	4	4	8	11	10	8	5	6	4	6	11	9	7	7	8	10	8	7	7	8	15	9	17	9	18	18	12
0 The whole country	Males	104	0	4	0	3	2	3	2	3	6	2	3	5	6	6	6	2	3	3	1	5	5	3	5	6	5	6	5	2	5	7	4	8	5	12	12
0 The whole country	Males	105	3	2	3	3	2	2	3	2	3	4	4	4	8	11	9	9	3	3	3	1	5	7	10	11	6	3	4	6	4	8	12	11	16	16	19
0 The whole country	Females	30	30515	31207	30730	31037	30898	30640	30864	31089	31983	32794	33215	33643	33815	34495	35024	33809	34311	33968	32599	32522	31054	29941	29306	30309	31121	31568	32072	32915	33014	33923	34362	35115	35955	37281	37899
0 The whole country	Females	31	30280	30595	31309	30845	31020	30910	30699	30957	31195	32083	32881	33321	33758	33982	34750	35131	33921	34544	34088	32747	32742	31353	30412	29890	30841	31557	32085	32554	33413	33407	34271	34616	35320	36174	37654
0 The whole country	Females	32	30311	30325	30707	31372	30818	31002	30927	30767	31068	31269	32116	32905	33404	33850	34189	34870	35206	34180	34675	34226	32959	33011	31747	30931	30282	31252	32014	32616	33035	33808	33579	34420	34818	35522	36480
0 The whole country	Females	33	29736	30328	30406	30751	31372	30776	31030	30984	30853	31153	31310	32153	32994	33477	34013	34269	34995	35404	34310	34806	34437	33138	33342	32190	31289	30737	31675	32485	33035	33379	34106	33812	34625	34968	35879
0 The whole country	Females	34	28544	29778	30400	30475	30786	31369	30820	31076	31092	30928	31149	31354	32222	33106	33646	34080	34334	35135	35521	34451	35013	34658	33448	33738	32620	31672	31157	32129	32876	33390	33628	34271	33998	34763	35260
0 The whole country	Females	35	29323	28570	29824	30441	30416	30796	31404	30894	31191	31127	30992	31140	31419	32316	33258	33690	34117	34477	35219	35606	34636	35207	34966	33798	34138	32950	32019	31601	32509	33172	33727	33763	34474	34148	35043
0 The whole country	Females	36	29542	29349	28586	29827	30422	30395	30824	31441	30974	31217	31166	31022	31193	31510	32462	33280	33749	34231	34571	35332	35759	34842	35457	35312	34121	34466	33271	32379	31933	32831	33380	33975	33945	34599	34410
0 The whole country	Females	37	30220	29532	29366	28589	29800	30388	30382	30855	31534	31032	31272	31168	31082	31287	31651	32515	33335	33866	34347	34621	35467	35933	35065	35768	35598	34391	34768	33584	32701	32182	33046	33545	34153	34097	34780
0 The whole country	Females	38	31352	30208	29552	29408	28531	29806	30362	30432	30917	31557	31058	31271	31242	31113	31408	31674	32534	33453	33961	34402	34749	35591	36134	35331	36031	35835	34680	35081	33853	32968	32360	33250	33707	34252	34297
0 The whole country	Females	39	32678	31359	30226	29564	29360	28509	29797	30389	30504	30944	31577	31015	31287	31301	31184	31409	31687	32667	33533	34010	34471	34882	35790	36381	35583	36260	36102	35012	35348	34062	33121	32532	33400	33835	34425
0 The whole country	Females	40	29431	32661	31360	30234	29518	29314	28505	29786	30436	30560	30933	31559	31056	31336	31356	31211	31425	31752	32694	33597	34092	34540	35027	36030	36579	35798	36475	36359	35218	35533	34239	33240	32701	33516	33954
0 The whole country	Females	41	28139	29436	32663	31316	30166	29453	29322	28515	29818	30467	30519	30917	31576	31072	31399	31351	31245	31504	31770	32747	33674	34166	34678	35236	36241	36776	36047	36651	36557	35406	35739	34358	33354	32815	33625
0 The whole country	Females	42	25249	28126	29419	32609	31288	30122	29473	29340	28566	29853	30464	30523	30937	31608	31143	31365	31358	31274	31538	31813	32793	33750	34276	34845	35431	36430	36982	36244	36848	36730	35553	35857	34465	33435	32962
0 The whole country	Females	43	23387	25259	28136	29375	32570	31239	30097	29462	29412	28571	29858	30463	30510	30914	31679	31125	31382	31448	31296	31543	31869	32822	33837	34411	35020	35565	36618	37118	36385	36999	36873	35647	35957	34612	33568
0 The whole country	Females	44	20727	23380	25243	28122	29279	32510	31190	30088	29526	29385	28569	29834	30441	30514	30954	31657	31146	31429	31462	31322	31571	31880	32930	33964	34568	35158	35736	36778	37241	36524	37099	37006	35719	36083	34716
0 The whole country	Females	45	21352	20711	23361	25218	28056	29238	32481	31183	30113	29530	29384	28533	29804	30440	30528	30939	31616	31148	31417	31473	31350	31604	31939	33078	34104	34692	35256	35861	36854	37343	36654	37165	37037	35791	36151
0 The whole country	Females	46	21026	21330	20696	23311	25180	27966	29227	32443	31186	30080	29502	29325	28485	29803	30473	30497	30890	31618	31148	31434	31477	31356	31661	32070	33148	34216	34851	35356	35919	36910	37383	36696	37186	37092	35886
0 The whole country	Females	47	20406	20996	21292	20632	23273	25101	27915	29194	32447	31139	30004	29455	29283	28466	29790	30428	30435	30885	31612	31123	31433	31451	31388	31761	32169	33268	34317	34941	35440	35996	36984	37423	36730	37258	37168
0 The whole country	Females	48	19544	20363	20973	21246	20571	23206	25056	27886	29195	32378	31100	29967	29409	29245	28453	29742	30368	30413	30866	31590	31094	31452	31491	31438	31831	32233	33320	34394	35012	35496	36061	37040	37469	36742	37322
0 The whole country	Females	49	18808	19496	20281	20940	21179	20516	23168	25046	27873	29121	32315	31018	29920	29362	29202	28383	29709	30336	30383	30822	31541	31045	31449	31553	31490	31849	32322	33378	34451	35029	35508	36094	37052	37471	36790
0 The whole country	Females	50	18429	18756	19457	20237	20861	21134	20471	23141	25025	27808	29041	32231	30952	29861	29347	29145	28312	29681	30279	30338	30793	31530	31046	31488	31586	31546	31915	32353	33391	34482	35053	35559	36126	37063	37524
0 The whole country	Females	51	18366	18373	18694	19411	20184	20809	21072	20424	23091	24965	27730	28969	32144	30859	29813	29306	29075	28257	29642	30225	30274	30762	31512	31050	31510	31586	31559	31953	32348	33409	34456	35056	35533	36134	37067
0 The whole country	Females	52	18253	18304	18313	18641	19336	20121	20745	21061	20390	23046	24885	27669	28876	32059	30829	29722	29233	28994	28185	29572	30158	30214	30746	31500	31046	31503	31600	31587	31923	32360	33425	34450	35042	35504	36116
0 The whole country	Females	53	19797	18215	18235	18258	18594	19282	20070	20679	21029	20363	22996	24799	27602	28770	31977	30744	29632	29161	28925	28124	29512	30104	30186	30734	31485	31010	31494	31592	31582	31913	32333	33399	34420	35004	35489
0 The whole country	Females	54	20016	19703	18176	18167	18201	18521	19226	20012	20638	20972	20329	22931	24714	27499	28694	31857	30642	29544	29077	28842	28038	29447	30053	30141	30693	31440	30985	31466	31585	31543	31877	32288	33339	34392	34958
0 The whole country	Females	55	20431	19942	19595	18107	18085	18121	18475	19157	19955	20601	20879	20227	22854	24625	27423	28576	31739	30517	29443	28980	28765	27984	29375	30002	30137	30647	31390	30955	31448	31522	31492	31849	32227	33287	34348
0 The whole country	Females	56	20168	20337	19862	19514	18028	17996	18056	18411	19092	19891	20543	20810	20145	22758	24543	27297	28453	31597	30366	29357	28881	28664	27901	29346	29956	30081	30591	31347	30878	31392	31425	31427	31791	32172	33208
0 The whole country	Females	57	20831	20070	20236	19773	19406	17953	17918	17978	18350	19024	19810	20458	20741	20061	22700	24415	27183	28325	31448	30242	29226	28761	28592	27831	29292	29873	29982	30530	31256	30800	31332	31350	31356	31709	32098
0 The whole country	Females	58	20725	20686	19972	20124	19642	19316	17853	17818	17908	18257	18929	19725	20338	20666	20009	22586	24297	27071	28193	31274	30121	29110	28663	28485	27741	29201	29789	29905	30441	31182	30692	31243	31242	31261	31634
0 The whole country	Females	59	21928	20612	20561	19841	20006	19541	19223	17764	17750	17818	18165	18817	19610	20253	20561	19883	22440	24141	26929	28033	31118	30000	28987	28552	28424	27651	29086	29692	29812	30358	31096	30587	31170	31131	31179
0 The whole country	Females	60	21766	21794	20479	20417	19709	19891	19421	19114	17668	17656	17751	18086	18750	19513	20173	20440	19750	22302	23982	26776	27894	30951	29842	28855	28459	28290	27545	28970	29566	29716	30217	31007	30498	31079	31057
0 The whole country	Females	61	22750	21611	21627	20320	20272	19560	19767	19296	18997	17574	17561	17653	18017	18644	19432	20005	20330	19620	22164	23837	26607	27735	30799	29714	28731	28307	28181	27441	28853	29453	29594	30092	30864	30376	30961
0 The whole country	Females	62	23668	22612	21438	21453	20146	20121	19423	19629	19190	18866	17471	17454	17532	17903	18524	19289	19861	20180	19465	22044	23687	26442	27596	30602	29555	28580	28136	28025	27304	28739	29280	29465	29973	30709	30212
0 The whole country	Females	63	23883	23473	22445	21248	21275	20012	19964	19282	19479	19059	18736	17351	17347	17433	17771	18364	19124	19705	20046	19351	21896	23495	26258	27393	30391	29382	28390	28003	27845	27160	28591	29104	29325	29818	30547
0 The whole country	Females	64	24210	23648	23248	22249	21051	21062	19838	19780	19111	19334	18912	18605	17200	17211	17315	17622	18195	18965	19523	19918	19187	21734	23313	26086	27210	30207	29210	28195	27820	27696	26984	28435	28955	29171	29630
0 The whole country	Females	65	25795	23965	23426	23006	22027	20811	20857	19651	19612	18954	19139	18710	18432	17043	17045	17152	17469	18038	18794	19357	19743	19058	21563	23126	25891	27002	29985	28995	27993	27647	27525	26806	28246	28768	29002
0 The whole country	Females	66	21291	25499	23706	23164	22788	21797	20601	20640	19430	19410	18762	18949	18551	18283	16893	16905	16994	17291	17874	18636	19206	19596	18914	21361	22949	25700	26807	29764	28798	27762	27471	27320	26614	28049	28550
0 The whole country	Females	67	22591	21037	25185	23421	22884	22521	21568	20363	20391	19219	19222	18571	18751	18364	18087	16716	16719	16807	17079	17674	18460	19034	19408	18744	21175	22725	25473	26564	29510	28567	27563	27266	27081	26413	27818
0 The whole country	Females	68	22395	22292	20766	24850	23135	22587	22211	21286	20123	20167	18995	19000	18353	18533	18139	17875	16522	16529	16637	16915	17500	18267	18839	19207	18569	20981	22513	25223	26303	29257	28325	27330	27029	26856	26227
0 The whole country	Females	69	21121	22072	21922	20456	24463	22802	22248	21909	20976	19853	19883	18758	18753	18142	18299	17909	17646	16340	16312	16428	16729	17308	18086	18635	19010	18363	20760	22253	24952	26050	28973	28027	27072	26793	26631
0 The whole country	Females	70	20624	20779	21679	21524	20121	24067	22442	21899	21573	20665	19531	19582	18492	18478	17901	18028	17656	17428	16122	16104	16228	16566	17100	17909	18406	18820	18174	20529	22021	24711	25792	28676	27726	26784	26516
0 The whole country	Females	71	20179	20262	20386	21252	21142	19748	23641	22081	21523	21164	20328	19204	19285	18192	18198	17585	17757	17373	17167	15897	15854	16021	16375	16878	17677	18167	18611	17945	20297	21756	24402	25516	28336	27395	26497
0 The whole country	Females	72	19667	19762	19853	19977	20847	20667	19365	23187	21646	21148	20749	19987	18832	18943	17888	17883	17238	17452	17087	16907	15667	15612	15785	16138	16681	17432	17942	18316	17682	20060	21484	24095	25168	28009	27035
